,#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
30,31,RRender TokenRENDER,$7.73$7.73+8.34%,+8.34%,$1.04 B,$4 B
31,32,EEthereum ClassicETC,$26.49$26.49+0.94%,+0.94%,$593.35 M,$3.96 B
32,33,BBonkBONK,$0.00004975$0.00004975-1.13%,-1.13%,$1.86 B,$3.73 B
33,34,MMANTRAOM,$4.20$4.20+28.58%,+28.58%,$771.81 M,$3.78 B
34,35,BbittensorTAO,$497.13$497.13-2.25%,-2.25%,$222.18 M,$3.67 B
35,36,DdogwifhatWIF,$3.60$3.60-4.14%,-4.14%,$897.31 M,$3.59 B
36,37,PPolygon Ecosystem TokenPOL,$0.4241$0.4241+3.17%,+3.17%,$285.4 M,$3.37 B
37,38,WWhiteBIT TokenWBT,$22.07$22.07-0.19%,-0.19%,$22.37 M,$3.18 B
38,39,AArtificial Superintelligence AllianceFET,$1.29$1.29+1.00%,+1.00%,$288.74 M,$3.15 B
39,40,SStacksSTX,$1.90$1.90-0.49%,-0.49%,$145.85 M,$2.85 B
40,41,AArbitrumARB,$0.6919$0.6919+1.44%,+1.44%,$547.94 M,$2.83 B
41,42,MMoneroXMR,$153.65$153.65+1.81%,+1.81%,$76.81 M,$2.83 B
42,43,FFilecoinFIL,$4.52$4.52+1.16%,+1.16%,$357.15 M,$2.71 B
43,44,OOKBOKB,$44.21$44.21-1.95%,-1.95%,$6.7 M,$2.65 B
44,45,FFirst Digital USDFDUSD,$0.999$0.999+0.00%,+0.00%,$6.49 B,$2.61 B
45,46,VVeChainVET,$0.03125$0.03125+7.21%,+7.21%,$96.58 M,$2.53 B
46,47,AAaveAAVE,$167.48$167.48+0.09%,+0.09%,$229.33 M,$2.51 B
47,48,FFlokiFLOKI,$0.0002592$0.0002592+1.25%,+1.25%,$919.91 M,$2.49 B
48,49,IInjectiveINJ,$24.96$24.96-5.12%,-5.12%,$196.79 M,$2.47 B
49,50,MMantleMNT,$0.7273$0.7273+1.29%,+1.29%,$106.97 M,$2.45 B
50,51,CCosmosATOM,$6.20$6.20+5.93%,+5.93%,$291.02 M,$2.43 B
51,52,IImmutable XIMX,$1.34$1.34-0.82%,-0.82%,$84.84 M,$2.23 B
52,53,SSeiSEI,$0.512$0.512-1.17%,-1.17%,$443.09 M,$2.18 B
53,54,CCelestiaTIA,$5.12$5.12-2.21%,-2.21%,$193 M,$2.15 B
54,55,OOptimismOP,$1.69$1.69-2.68%,-2.68%,$366.49 M,$2.12 B
55,56,FFantomFTM,$0.7079$0.7079-2.89%,-2.89%,$282.41 M,$1.98 B
56,57,TThe GraphGRT,$0.2046$0.2046+2.84%,+2.84%,$89.32 M,$1.95 B
57,58,BBitget TokenBGB,$1.38$1.38-0.93%,-0.93%,$34.17 M,$1.93 B
58,59,TTHORChainRUNE,$5.38$5.38-3.45%,-3.45%,$240.57 M,$1.82 B
59,60,PPopcatPOPCAT,$1.85$1.85+0.53%,+0.53%,$185.77 M,$1.82 B
60,61,AAlgorandALGO,$0.2208$0.2208+15.86%,+15.86%,$420.48 M,$1.83 B
61,62,RRaydiumRAY,$5.80$5.80+5.54%,+5.54%,$279.28 M,$1.69 B
62,63,BBrettBRETT,$0.1647$0.1647-2.96%,-2.96%,$102.79 M,$1.63 B
63,64,PPeanut the SquirrelPNUT,$1.59$1.59-1.33%,-1.33%,$1.63 B,$1.59 B
64,65,EEthenaENA,$0.5766$0.5766+1.07%,+1.07%,$228.46 M,$1.64 B
65,66,JJupiterJUP,$1.21$1.21-2.57%,-2.57%,$289.14 M,$1.64 B
66,67,TTheta NetworkTHETA,$1.61$1.61+5.77%,+5.77%,$50.87 M,$1.61 B
67,68,WWorldcoinWLD,$2.28$2.28-1.49%,-1.49%,$386.07 M,$1.51 B
68,69,PPyth NetworkPYTH,$0.4133$0.4133-5.82%,-5.82%,$185.61 M,$1.5 B
69,70,BBitcoin SVBSV,$68.21$68.21+0.92%,+0.92%,$70.74 M,$1.35 B
70,71,OOndoONDO,$0.9625$0.9625+1.78%,+1.78%,$153.18 M,$1.34 B
71,72,MMakerMKR,"$1,485.22$1,485.22+0.10%",+0.10%,$88.53 M,$1.31 B
72,73,KKuCoin TokenKCS,$10.49$10.49-4.37%,-4.37%,$1.89 M,$1.26 B
73,74,BBeambeam,$0.02462$0.02462-0.24%,-0.24%,$63.98 M,$1.22 B
74,75,AArweaveAR,$18.63$18.63+3.01%,+3.01%,$135.81 M,$1.22 B
75,76,GGoatseus MaximusGOAT,$1.13$1.13-10.38%,-10.38%,$353.21 M,$1.13 B
76,77,FFlowFLOW,$0.7191$0.7191+8.88%,+8.88%,$101.55 M,$1.11 B
77,78,BBitTorrentBTT,$0.000001118$0.000001118+0.68%,+0.68%,$31.76 M,$1.08 B
78,79,QQuantQNT,$90.46$90.46+12.23%,+12.23%,$75.77 M,$1.09 B
79,80,FFLAREFLR,$0.02047$0.02047+0.06%,+0.06%,$38.01 M,$1.08 B
80,81,LLido DAO TokenLDO,$1.20$1.20+1.52%,+1.52%,$156.65 M,$1.08 B
81,82,JJasmyCoinJASMY,$0.0214$0.0214-2.07%,-2.07%,$106.53 M,$1.06 B
82,83,GGalaGALA,$0.02954$0.02954+3.43%,+3.43%,$208.9 M,$1.06 B
83,84,AAkash NetworkAKT,$3.97$3.97+21.60%,+21.60%,$108.34 M,$984.71 M
84,85,PPolygonMATIC,$0.423$0.423+3.10%,+3.10%,$12.05 M,$990.56 M
85,86,HHeliumHNT,$5.82$5.82-2.48%,-2.48%,$12.72 M,$991.68 M
86,87,EEOSEOS,$0.6484$0.6484+2.49%,+2.49%,$180.71 M,$990.89 M
87,88,SStarkNetSTRK,$0.4678$0.4678+1.78%,+1.78%,$150.12 M,$982.15 M
88,89,MMOG CoinMOG,$0.000002462$0.000002462-5.48%,-5.48%,$37.38 M,$961.43 M
89,90,AAIOZ NetworkAIOZ,$0.8235$0.8235+7.56%,+7.56%,$26.59 M,$936.46 M
90,91,FFasttokenFTN,$3.09$3.09-0.15%,-0.15%,$200.39 M,$943.12 M
91,92,AAerodrome FinanceAERO,$1.35$1.35-2.25%,-2.25%,$28.23 M,$934.54 M
92,93,EeCashXEC,$0.00004524$0.00004524+1.07%,+1.07%,$42.49 M,$895.12 M
93,94,TTokenize XchangeTKX,$11.30$11.30+5.13%,+5.13%,"$308,166",$904 M
94,95,GGateTokenGT,$9.75$9.75-1.15%,-1.15%,$4.76 M,$887.66 M
95,96,NNeoNEO,$12.50$12.50+1.07%,+1.07%,$32.61 M,$881.79 M
96,97,AAxie InfinityAXS,$5.70$5.70+0.80%,+0.80%,$104.45 M,$875.25 M
97,98,TThe SandboxSAND,$0.3574$0.3574+1.28%,+1.28%,$192.92 M,$855.58 M
98,99,PPendlePENDLE,$5.21$5.21-3.13%,-3.13%,$67.57 M,$853.17 M
99,100,DdYdXDYDX,$1.31$1.31+2.38%,+2.38%,$55.25 M,$844.66 M
